Angle       Radial                          
(Degrees)   Distance(cm)         X         Y
0           52               52.00      0.00
5           54               53.79      4.71
10          53               52.19      9.20
15          54               52.16     13.98
20          162             152.23     55.41
25          54               48.94     22.82
30          54               46.77     27.00
35          54               44.23     30.97
40          54               41.37     34.71
45          54               38.18     38.18
50          53               34.07     40.60
55          53               30.40     43.42
60          52               26.00     45.03
65          53               22.40     48.03
70          54               18.47     50.74
75          600             155.29    579.56
80          161              27.96    158.55
85          160              13.94    159.39
90          161               0.00    161.00
95          161             -14.03    160.39
100         162             -28.13    159.54
105         162             -41.93    156.48
110         162             -55.41    152.23
115         164             -69.31    148.63
120         316            -158.00    273.66
125         162             -92.92    132.70
130         162            -104.13    124.10
135         161            -113.84    113.84
140         162            -124.10    104.13
145         161            -131.88     92.35
150         162            -140.30     81.00
155         162            -146.82     68.46
160         162            -152.23     55.41
165         161            -155.51     41.67
170         162            -159.54     28.13
175         162            -161.38     14.12
180         161            -161.00      0.00
